414/89,020 TIM m,Text,414/89,11/10/1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
5369,220 MCB a,Text,5369,30-Sep-10,,,200-299,,Available,,,,,IDR,,,,Apa kata Mereka Tentang Yesus
3772,220 TIM b,Text,3772,4 Maret 2006,,,200-299,,Available,,,,,IDR,,,,Bacaan harian Kitab Suci
4537,248 LIP s,Text,4537,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Salib & Penyembuhan
4620 TIM r,,Text,4620 TIM r,10 Juli 2008,,,200-299,,Available,,,,,IDR,,,,Ruah bacaan harian Kitab Suci
3494,269 DIS r,Text,3494,25-Sep-09,,,200-299,,Available,,,,,IDR,,,,Rehab Rumah Tuhan
4793,235 HAH h,Text,4793,25 Agustus 2009,,,200-299,,Available,,,,,IDR,,,,"hall, Holy Queen"
5347,200.2 KEA o,Text,5347,29-Sep-10,,,200-299,,Available,,,,,IDR,,,,Open MindOpen Heart
4796,238 HAH c,Text,4796,25 Agustus 2009,,,200-299,,Available,,,,,IDR,,,,Catholic For A Reason I
3862,200.9 CAL m,Text,3862,28 Juni 2006,,,200-299,,Available,,,,,IDR,,,,Maria Magdalena & Augustinus
4799,220 PID m,Text,4799,12 Juli 2007,,,200-299,,Available,,,,,IDR,,,,Mempertanggungjawabkan Iman Katolik
3930,200.2 RTID h,Text,3930,13 Juli 2006,,,200-299,,Available,,,,,IDR,,,,How To Be a Christian Without Being religious
3491,290 TIM i,Text,3491,25-Sep-09,,,200-299,,Available,,,,,IDR,,,,iman Ekonomi & Ekologi
4563,248 HAM b,Text,4563,30 Maret 2009,,,200-299,,Available,,,,,IDR,,,,banyak Cowok Masuk Dalam Hidupku manakah Yang harus Kupilih?
5692,232 TIM y,Text,5692,28 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Yesus Menurut Injil Lukas
2963,227 TIM s,Text,2963,17 Oktober 2001,,,200-299,,Available,,,,,IDR,,,,Surat-surat Paulus 3
4039,268 CAM p,Text,4039,5 Oktober 2006,,,200-299,,Available,,,,,IDR,,,,Profesionalisme Dan Pendampingan Pastoral
5371,200.2 WRI r1,Text,5371,30-Sep-10,,,200-299,,Available,,,,,IDR,,,,Raising Kids To Love Jesus 1
5349,200.3 WRI r2,Text,5349,29-Sep-16,,,200-299,,Available,,,,,IDR,,,,Raising Kids To Love Jesus 2
6120,220 TIM p,Text,6120,10 Oktober 2013,,,200-299,,Available,,,,,IDR,,,,Pelangi
5374,265 MAR p,Text,5374,30-Sep-20,,,200-299,,Available,,,,,IDR,,,,Penyembuhan Melalui Sakramen
4621,220 TIM r,Text,4621,10 Juli2008,,,200-299,,Available,,,,,IDR,,,,Ruah Bacaan Harian Kitab Suci
5654,247 MAR a,Text,5654,23 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Apa Sih Alat-Alat Ibadat Itu?
5628,220DAR p,Text,5628,21 Mei2011,,,200-299,,Available,,,,,IDR,,,,Perempuan berselubungkan Matahari
4613,269 RAD n,Text,4613,13-Apr-09,,,200-299,,Available,,,,,IDR,,,,Nyanyikanlah Lagu Baru
5063,268 PAA d,Text,5063,6-Apr-10,,,200-299,,Available,,,,,IDR,,,,Devosi Dan Deviasi
4562,252 GIA m,Text,4562,30 Maret 2009,,,200-299,,Available,,,,,IDR,,,,membarui Wajah manusia 
3707,203 WAL k,Text,3707,26-Sep-05,,,200-299,,Available,,,,,IDR,,,,Konkordasi Alkitab
4709,248 ARO a,Text,4709,24 Juli 2009,,,200-299,,Available,,,,,IDR,,,,Amazing Stories For teen
4916,200.9 MAX g,Text,4916,12 Agustus 2008,,,200-299,,Available,,,,,IDR,,,,Gisela Borowka 
0870,2X0 QAM m,Text,0870,13 Mei 1980,,,200-299,,Available,,,,,IDR,,,,membangun Insan Seutuhnya
4925,200.9 BIG L,Text,4925,12 Agustus 2008,,,200-299,,Available,,,,,IDR,,,,Legenda Perugina
4536,248 KAW b,Text,4536,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Berhasil Karena Iman
4885,240 HAR k,Text,4885,18-Sep-12,,,200-299,,Available,,,,,IDR,,,,Kupas Tuntas Rahasia Doa bapa kami
4534,220 GIA k,Text,4534,21 mei 2008,,,200-299,,Available,,,,,IDR,,,,Kumpulan Ulasan Injil : Bersama Dia
493,2xo HUD p,Text,493,30 Januari 1984,,,200-299,,Available,,,,,IDR,,,,Pelita Dalam Gelap
5805,210 BRE t,Text,5805,17-Apr-12,,,200-299,,Available,,,,,IDR,,,,Tuhan Ada Di Mana-mana
3639,269 LOC l,Text,3639,27 Oktober 2004,,,200-299,,Available,,,,,IDR,,,,Lourdes Sumber Air Hidup
2505,263 DAR h,Text,2505,25-Apr-04,,,200-299,,Available,,,,,IDR,,,,Hari-Hari Keluarga Kristiani
0586,231.042 RIC b,Text,0586,-,,,200-299,,Available,,,,,IDR,,,,Bagaimana Aku Dapat Mengenal Allah?
7887,249 TIM i,Text,7887,13 Februari 2017,,,200-299,,Available,,,,,IDR,,,,Ibadah Keluarga
2527,264 WIN m,Text,2527,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Mengenal 25 Sikap Liturgi
4533,268 VER k,Text,4533,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Kontemplasi Bagi Setiap Orang Beriman
2969,268 TIM k,Text,2969,17 Oktober 2001,,,200-299,,Available,,,,,IDR,,,,Kemiskinan  Dan Pembebasan 
3072,200.7 PID m,Text,3072,11 Desember 2001,,,200-299,,Available,,,,,IDR,,,,mempertanggungjawabkan Iman Katolik Jilid 1
1672,210,Text,1672,24 Juni 1993,,,200-299,,Available,,,,,IDR,,,,Serikat Kerasulan Anak/Remaja KKI
6595,232 LEK y,Text,6595,28 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Yesus Engkaulah Andalanku
5146,269 RAD s,Text,5146,27 mei 2010,,,200-299,,Available,,,,,IDR,,,,santo Fransiskus Dan Binatang-Binatang
5578,266 TIM a,Text,5578,26 Maret 2011,,,200-299,,Available,,,,,IDR,,,,Awam Katolik Di Sekolah : Saksi-Saksi Iman
5579,266 TIM d,Text,5579,26 Maret 2011,,,200-299,,Available,,,,,IDR,,,,Dimensi Religius Pendidikan Di Sekolah katolik
5580,266 TIM k,Text,5580,26 Maret 2011,,,200-299,,Available,,,,,IDR,,,,Kitab Hukum kanonik Tentang Pendidikan katolik
5577,266 TIM s,Text,5577,26 Maret 2011,,,200-299,,Available,,,,,IDR,,,,Sekolah Katolik
0289,230,Text,0289,13 Maret 1984,,,200-299,,Available,,,,,IDR,,,,Anak Penggembala  Dari Betlehem
5783,200.7 HUM j,Text,5783,,,,200-299,,Available,,,,,IDR,,,,Jika kamu harus Memilih Apa Yang Akan kamu Lakukan?
628,2007 WAH h,Text,628,25 Juli 1990,,,200-299,,Available,,,,,IDR,,,,Hidup sejati
2559,269 KIL r,Text,2559,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Rekoleksi & Retret Remaja
5621,200.9 WAS s,Text,5621,21 Mei 2011,,,200-299,,Available,,,,,IDR,,,,"ST. Karel Houben,CP Seorang Misionaris Kudus Di Irlandia"
4534,248 RIY m,Text,4534,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Mukjizat Pengampunan
4527,248 DAR p,Text,4527,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Penegasan Panggilan
3233,269 PUR i,Text,3233,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Imanku Sudah Bulat
3102,264 TIM e,Text,3102,2 Januari 2002,,,200-299,,Available,,,,,IDR,,,,Evangelisasi Keluarga
3289,248 HUD b,Text,3289,16-Sep-02,,,200-299,,Available,,,,,IDR,,,,Bunga Rumput Sepanjang jalan
3236,240 KAL m,Text,3236,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Mengapa Kita membuat tanda Salib?
3584,230 DAR y,Text,3584,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Yesus Kristus & Bunda maria
5463,248 CAS d,Text,5463,17 Desember 2010,,,200-299,,Available,,,,,IDR,,,,Doa Yang Dikabulkan Allah
3229,235 PUR b,Text,3229,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Bunda Maria Teladan Iman Kita
5264,200.9 LOV b1,Text,5264,16-Sep-10,,,200-299,,Available,,,,,IDR,,,,Buku 1 santo-Santa Pahlawan- Pahlawan Allah yang Hebat
2970,271 JAC g,Text,2970,17 Oktober 2001,,,200-299,,Available,,,,,IDR,,,,Gereja menurut Vatikan II
5206,272 KUS m,Text,5206,21 juli 2010,,,200-299,,Available,,,,,IDR,,,,Martir-martir Dari Katakombe
4353,248 SUT s,Text,4353,27 Oktober 2008,,,200-299,,Available,,,,,IDR,,,,"Sopan-Santun, No!  Yesus, Yes!"
2545,248 TIM r,Text,2545,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Renungan Harian Bulan Maria
5681,248 NDO d,Text,5681,28 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Dalam Keheningan
0464,265,Text,0464,24 Desember 1986,,,200-299,,Available,,,,,IDR,,,,Ibadat Jalan Salib
2543,265,Text,2543,25-Sep-09,,,200-299,,Available,,,,,IDR,,,,Rahmat Dalam sakramen
3290,200.9 HER m,Text,3290,10-Sep-02,,,200-299,,Available,,,,,IDR,,,,Mutiara Berharga
5346,200.2 CAH b,Text,5346,29-Sep-10,,,200-299,,Available,,,,,IDR,,,,Beata Teresa
3385,200.9 MAR s,Text,3385,19 januari 2004,,,200-299,,Available,,,,,IDR,,,,Seorang Santa Yang Berdiam Diri dan Pesan Bunda maria
2517,248 NOU h,Text,2517,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Hati Yang Penuh Syukur
6534,246 TIM a,Text,6534,5 Agustus 2016,,,200-299,,Available,,,,,IDR,,,,Ayo Puji Tuhan
4544,248 TRI ,Text,4544,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Pak Guru Tulus
2510,269 PUR l,Text,2510,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,LETgO Let God
3585,230 DAR i,Text,3585,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Iman & kehidupan 
4038,220 TIS s,Text,4038,5 oktober 2006,,,200-299,,Available,,,,,IDR,,,,Seperti Apakah Kerajaan Allah Itu
5263,200.9 LOV d,Text,5263,16-Sep-10,,,200-299,,Available,,,,,IDR,,,,Doa-Doa Kepada Santo-Santa Kesayanganku
2520,269 LOC p,Text,2520,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Pesan-Pesan Dari Lourdes
4592,220 MAN y,Text,4592,3 Juni 2008,,,200-299,,Available,,,,,IDR,,,,"Yesus, Sang Pemimpin"
5624,220 DAR p,Text,5624,21 Mei 2011,,,200-299,,Available,,,,,IDR,,,,pengalaman Mistik rasul oaulus
2508,247 WIN m,Text,2508,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Mengenal 30 Lambang Atau Simbol Kristiani
4528,248 MOI t,Text,4528,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Tertawalah Sayang!
2526,247 WIN m,Text,2526,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,"mengenal peralatan, warna dan pakaian Liturgi"
2534,248 NOU i,Text,2534,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,In Memoriam 
4535,269 DAR p,Text,4535,2 Maret 2009,,,200-299,,Available,,,,,IDR,,,,Praktis Bimbingan Rohani
2548,242 PAI h,Text,2548,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Harta Karun Dalam Doa
0903,200.9 WAS m,Text,0903,-,,,200-299,,Available,,,,,IDR,,,,Matteo Ricci : Pendiri Gereja Di Cina
7481,220 MAX c,Text,7481,12 Juli 2008,,,200-299,,Available,,,,,IDR,,,,Cerita Alkitab
2552,264 WID a,Text,2552,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Ambisi Kawan Atau Lawan
3293,242 NJI m,Text,3293,16-Sep-10,,,200-299,,Available,,,,,IDR,,,,Menyelami Makna Doa Bapa kami
0741,248 KRU k,Text,0741,-,,,200-299,,Available,,,,,IDR,,,,Keluarga Yang Bertanggungjawab
2554,269 MAN d,Text,2554,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Dalam keheningan
3492,240 WAS p,Text,3492,25 Oktober 2004,,,200-299,,Available,,,,,IDR,,,,Putera Altar
5739,248 ZAH h,Text,5739,31 Oktober 2011,,,200-299,,Available,,,,,IDR,,,,Hidup Itu kadang Lucu
6617,202 TIM f,Text,6617,13 Februari 2017,,,200-299,,Available,,,,,IDR,,,,Family Matters
3105,265 TIM i,Text,3105,2 Januari 2002,,,200-299,,Available,,,,,IDR,,,,Ibadat Tujuh Sabda Kristus
3830,265 HEI j,Text,3830,11-Apr-06,,,200-299,,Available,,,,,IDR,,,,Jalan Salib
2544,269 MAR m,Text,2544,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Mencintai Ekaristi
2558,269 TER m,Text,2558,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Maria Bunda Pendamai
3108,200.7 TIM k,Text,3108,2 Januari 2002,,,200-299,,Available,,,,,IDR,,,,Kerangka dasar Aksi pembangunan 1997
5737,220.7 LES r,Text,5737,31 Oktober 2011,,,200-299,,Available,,,,,IDR,,,,Rahasia Gelar-Gelar Maria
5694,240 LAN g,Text,5694,28 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Gue Akrab Dengan Yesus Kata Siapa?
0293,230 DIA t,Text,0293,13-Nov-84,,,200-299,,Available,,,,,IDR,,,,Tuhan Yesus Memanggil Murid-Muridnya
5736,248 RUM s,Text,5736,31 Oktober 2011,,,200-299,,Available,,,,,IDR,,,,Semangkuk Mie Kuah
0948 ,220 KIS p,Text,0948 ,22-Nov-88,,,200-299,,Available,,,,,IDR,,,,Problema perkawinan
3292,248,Text,3292,16-Apr-00,,,200-299,,Available,,,,,IDR,,,,Rangkaian Kisah Bermakna 100 Cerita 
7537,264,Text,7537,23 Desember 2021,,,200-299,,Available,,,,,IDR,,,,Puji Syukur Kor I Untuk Kor Campur
4845,209 HEU a,Text,4845,4-Sep-09,,,200-299,,Available,,,,,IDR,,,,Agama Kristen Di Asia
6541,250 TIM s,Text,6541,5 Agustus 2016,,,200-299,,Available,,,,,IDR,,,,Studia Philosophica Et Theologica
6539,250 TIM s,Text,6539,5 Agustus 2016,,,200-299,,Available,,,,,IDR,,,,Studia Philosophica Et Theologica
6540,250 TIM s,Text,6540,5 Agustus 2016,,,200-299,,Available,,,,,IDR,,,,Studia Philosophica Et Theologica
3659,220 WAT t,Text,3659,27 Oktober 2004,,,200-299,,Available,,,,,IDR,,,,The Children'S Bible
5669,269 PAR b,Text,5669,23 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Becoming The Woman God Wants Me To Be 1
5670,269 PAR b,Text,5670,23 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Becoming The Woman God Wants Me To Be 2
2566,269 DAR m,Text,2566,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Mutiara Iman Keluarga Kristiani
2977,269 SIN a,Text,2977,17 Oktober 2001,,,200-299,,Available,,,,,IDR,,,,Aburing Kupu-Kupu Kuning
7673,265 PRA s,Text,7673,3 Oktober 2022,,,200-299,,Available,,,,,IDR,,,,Sakramen Yang Menyelamatkan
6047,200.7 TIM p,Text,6047,24 Mei 2013,,,200-299,,Available,,,,,IDR,,,,Paradigma Pedagogi Reflektif
3073,230 MOL m,Text,3073,11 Desember 2001,,,200-299,,Available,,,,,IDR,,,,Menjadi Murid Dan Nabi
3111,220.7 TIM i,Text,3111,1 Februari 2001,,,200-299,,Available,,,,,IDR,,,,Injil Dan Surat-Surat Yohanes
4410,248 SUP k,Text,4410,17 Januari 2008,,,200-299,,Available,,,,,IDR,,,,Krisis Dalam Hidup membiara
3071,220 SUG p,Text,3071,11 Desember 2001,,,200-299,,Available,,,,,IDR,,,,Penilaian Terhadap Pembaharuan Karismatik Katolik
6691,248 HER w,Text,6691,23 Mei 2017,,,200-299,,Available,,,,,IDR,,,,Wanita Luar Biasa
4597,248 KES d,Text,4597,13-Apr-09,,,200-299,,Available,,,,,IDR,,,,Debat Agama
1457,200.7,Text,1457,3-Sep-92,,,200-299,,Available,,,,,IDR,,,,Persiapan Krisma Suci ( buku pembina)
5696,200.9 ROS f,Text,5696,28 Juli 2011,,,200-299,,Available,,,,,IDR,,,,fatima Place Of Hope And Peace
3238,269,Text,3238,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,150 Kisah Jenaka Dalam Alkitab
3080,220 TUK k,Text,3080,11 Desember 2001,,,200-299,,Available,,,,,IDR,,,,Konseling Pastoral Kehidupan Keluarga
0746,248 BIL p,Text,0746,-,,,200-299,,Available,,,,,IDR,,,,Pewartaan Iman Katolik Djilid Pertama
5952,220 TIM y,Text,5952,25 Maret 2013,,,200-299,,Available,,,,,IDR,,,,Youcat Indonesia Katekismus Populer
7289,269 BRE b,Text,7289,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Bagaikan Roti Diremah
7309,223,Text,7309,30 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Miki Mungil : Dalam perjanjian lama
7288,200.7 TIM c,Text,7288,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Cermin Remaja
7287,220 KAR m,Text,7287,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,manusia Siapakah Engkau?
5380,248 HER d,Text,5380,30 Agustus 2010,,,200-299,,Available,,,,,IDR,,,,Dikerumuni Allah
2526,264 HUC l,Text,2526,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Liturgi Yang Anggun Dan Menawan
5977,200.9 SAP m,Text,5977,26-Apr-13,,,200-299,,Available,,,,,IDR,,,,Memoar Misi Papua Nugini
5691,200.9 FLO d,Text,5691,28 Januari 2011,,,200-299,,Available,,,,,IDR,,,,Daya tarik Cinta Ilahi
4532,220 STA r,Text,4532,21 Mei 2008,,,200-299,,Available,,,,,IDR,,,,Rahasia Dibalik Kisah Paskah
5934,248 RIY m,Text,5934,20 Februari 2013,,,200-299,,Available,,,,,IDR,,,,Mukjizat Pengampunan
4036,269 SUM l,Text,4036,5 oktober 2006,,,200-299,,Available,,,,,IDR,,,,50 Cerita Bijak Tentang Makna Kehidupan
2962,234 BIS s,Text,2962,12-Apr-01,,,200-299,,Available,,,,,IDR,,,,Semua Menjadi Baru 
3305,255 tim S,Text,3305,30-Nov-02,,,200-299,,Available,,,,,IDR,,,,Seminaris-Seminaris badung
2340,252 LIE d,Text,2340,22 Desember 1995,,,200-299,,Available,,,,,IDR,,,,Doa dan Devosi  Paus Yohanes II
6616,248 EMI b,Text,6616,10 Februari 2017,,,200-299,,Available,,,,,IDR,,,,Berserah Diri Saat maut Menjemput
3234,252 NJI m,Text,3234,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Menyelami makna Doa Salam maria
3218,248 PUR f,Text,3218,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,"Fisik Sakit, Iman Oke!"
5350,248 SUH p,Text,5350,29-Sep-10,,,200-299,,Available,,,,,IDR,,,,Pusat - Pusat Kehidupan 
3758,248 DJE c,Text,3758,11 Februari 2006,,,200-299,,Available,,,,,IDR,,,,Curhat dengan Tuhan
2568,269 POW b,Text,2568,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Betapa Indah Hidup Ini
1458,200.7 MAR p,Text,1458,3-Sep-92,,,200-299,,Available,,,,,IDR,,,,Persiapan Krisma Suci (buku calon)
2529,240 TER a,Text,2529,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Anugerah-Anugerah Cinta
0900,200.9 NOV s,Text,0900,-,,,200-299,,Available,,,,,IDR,,,,Santa Maria Goretti Menurut Ibunya
0287,220 DIA d,Text,0287,13-Nov-84,,,200-299,,Available,,,,,IDR,,,,Daniel
0291,220 HAR p,Text,0291,13-Nov-84,,,200-299,,Available,,,,,IDR,,,,Petrus Penjala Ikan
0289,200.9 DIA a,Text,0289,13-Nov-84,,,200-299,,Available,,,,,IDR,,,,Anak Gembala Dari Betlehem
3263,200.9,Text,3263,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Pius   : Bertangan Dingin
0288,200.9 DIA g,Text,0288,13-Nov-84,,,200-299,,Available,,,,,IDR,,,,Gadis Kecil Di rumah Naaman
3489,269 WAL r,Text,3489,25-Sep-04,,,200-299,,Available,,,,,IDR,,,,Rahasia-Rahasia Kehidupan
456,200.3 SUW m,Reference,456,9 Maret 1990,,,200-299,,Available,,,,,IDR,,,,Mini Ensiklopedia katolik
5653,264 SUW d,Text,5653,23 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Doa Rosario
7296,200.2 Tim l,Text,7296,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Legio Mariane
604,170 DWI s,Text,604,25 Juli 1990,,,200-299,,Available,,,,,IDR,,,,Sopan santun Di dalam Pergaulan
7294,220 TIM c,Text,7294,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Cikal bakal Bani Israel
7293,207 WIL a,Text,7293,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Agama dan Ilmu Pengetahuan
7292,269 WID m,Text,7292,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Mutiara Kemiskinan
7291,230 GRO p,Text,7291,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Peristiwa Yesus
7304,220 TIM b,Text,7304,21 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Buku Bacaan Misa harian 
5148,200.9 RIA p,Text,5148,20 Oktober 2020,,,200-299,,Available,,,,,IDR,,,,Penampakan Bunda Maria Di Medjugorje
6057,290 TIM r,Text,6057,15 Agustus 2013,,,200-299,,Available,,,,,IDR,,,,Religius Of The World
1222,235 SET s,Text,1222,24 Maret 1992,,,200-299,,Available,,,,,IDR,,,,Santa Elisabeth
3253,235 SET s,Text,3253,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Agustinus
1441,235 SET s,Text,1441,8 Agustus 1992,,,200-299,,Available,,,,,IDR,,,,Maria Klara
3300,235 SET s,Text,3300,16-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santa Katharina Laboure
3255,235 SET s,Text,3255,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Ignasius Dari Loyola
3249,235 SET s,Text,3249,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Pius X
4876,200.9 ALE f,Text,4876,12 Agustus 2008,,,200-299,,Available,,,,,IDR,,,,Francis Of Assisi
3771,248 TIM z,Text,3771,4 Maret 2006,,,200-299,,Available,,,,,IDR,,,,Ziarah batin 2005
4474,248 TIM z,Text,4474,26 maret 2008,,,200-299,,Available,,,,,IDR,,,,Ziarah batin 2006
3894,200.7 TIM j,Text,3894,6 Juli 2006,,,200-299,,Available,,,,,IDR,,,,Gospel Of Judas
5189,230LAL m1,Text,5189,21 Juni 2010,,,200-299,,Available,,,,,IDR,,,,makna Hidup Dalam Terang Iman Katolik1
5190,230 LAL m2,Text,5190,21 Juni 2010,,,200-299,,Available,,,,,IDR,,,,makna Hidup Dalam Terang Iman Katolik2
5191,230 LAL m3,Text,5191,21 Juni 2010,,,200-299,,Available,,,,,IDR,,,,makna Hidup Dalam Terang Iman Katolik 3
5191,230 LAL m4,Text,5191,21 Juni 2010,,,200-299,,Available,,,,,IDR,,,,makna Hidup Dalam Terang Iman Katolik 4
5625,264 TIM p,Text,5625,21 Juni 2010,,,200-299,,Available,,,,,IDR,,,,Perayaan Ekaristi Hari Minggu Dan Hari Raya Tahun A
5193,264 TIM p,Text,5193,21 Juni 2010,,,200-299,,Available,,,,,IDR,,,,Perayaan Ekaristi Hari Minggu Dan Hari Raya Tahun C
1647,200.9 ROM s,Text,1647,21 Mei 1993,,,200-299,,Available,,,,,IDR,,,,Santo Vinsensius De Paul
0907,200.9 GRO f,Text,0907,-,,,200-299,,Available,,,,,IDR,,,,Fransiskus Di hadapan allah
1475,220 TIM r,Text,1475,7 Oktober1992,,,200-299,,Available,,,,,IDR,,,,Remaja Bersama Yesus  Buku Murid 3a dan 3b
-,,Text,-,-,,,200-299,,Available,,,,,IDR,,,,Pendidikan Nilah Di Sekolah katolik
-,200.7 TIM p,Text,-,-,,,200-299,,Available,,,,,IDR,,,,Ziarah Batin 2008
0468,264.1,Text,0468,24 Desember 1986,,,200-299,,Available,,,,,IDR,,,,Lagu-Lagu Liturgi
5650,242 SET d,Text,5650,28 Juli 2011,,,200-299,,Available,,,,,IDR,,,,Doa Dan Anak-Anak
5465,200.3 TIM e,Text,5465,17 Desember 2010,,,200-299,,Available,,,,,IDR,,,,Ensiklopedi orang Kudus
5265,200.9 LOV s4,Text,5265,16-Sep-20,,,200-299,,Available,,,,,IDR,,,,Buku 2 santo-santa P
5266,200.9 LOV b2,Text,5266,16-Sep-20,,,200-299,,Available,,,,,IDR,,,,Buku 3 Santo -santa
5267,200.9 LOV3,Text,5267,16-Sep-20,,,200-299,,Available,,,,,IDR,,,,Buku 4 Santo - Santa
5268,200.9 LOV5,Text,5268,16-Sep-20,,,200-299,,Available,,,,,IDR,,,,Buku 5 Santo - Santa
6269,200.9 LOV b6,Text,6269,16-Sep-20,,,200-299,,Available,,,,,IDR,,,,Buku 6 Santo - Santa
3252,200.9 MAR s,Text,3252,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Bernardinus Realino
3270,200.9 MAR s,Text,3270,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Yosef Maria Pignatelli
3264,200.9 KOW s,Text,3264,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santa Theresia sang Pendoa
3269,200.9 MAR s,Text,3269,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Aloysius Gonzaga
3261,200.9 MAR s,Text,3261,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santa Angela Merici : Ibu Guru
3266,200.9 MAR s,Text,3266,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Bonaventura
3267,200.9 HUD s,Text,3267,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Casimirus
3268,200.9 MAR s,Text,3268,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Fransiskus Xaverius 
0902,200.9 KLE p,Text,0902,-,,,200-299,,Available,,,,,IDR,,,,Paus Yohanes paulus II Apa Rahasiannya?
5260,200.9 HEF s,Text,5260,16-Sep-10,,,200-299,,Available,,,,,IDR,,,,Santa Bernadette Soubirous
3265,200.9 KOW s,Text,3265,12-Sep-02,,,200-299,,Available,,,,,IDR,,,,Santo Gregorius Agung
5195,200.9 WAL t,Text,5195,15 Juni 2010,,,200-299,,Available,,,,,IDR,,,,The Catholic Idols Jilid 1
5187,200.9 WAL t,Text,5187,24 Juni 2010,,,200-299,,Available,,,,,IDR,,,,The Catholic Idols Jilid 2
7313,200.7 TIM p,Text,7313,2-Nov-20,,,200-299,,Available,,,,,IDR,,,,pendidikan Agama katolik Untuk SLTP Aku Bersedia Diutus Oleh Yesus
7312,200.7 TIM p,Text,7312,2-Nov-20,,,200-299,,Available,,,,,IDR,,,,pendidikan Agama katolik Untuk SLTP Aku Bersedia Diutus Oleh Yesus
7311,200.7 TIM p,Text,7311,2-Nov-20,,,200-299,,Available,,,,,IDR,,,,Buku Murid Remaja Bersama Yesus 1b
7310,200.7 TIM p,Text,7310,2-Nov-20,,,200-299,,Available,,,,,IDR,,,,Buku Murid Remaja Bersama Yesus 2b
5784,200.1 TEF m,Text,5784,11-Apr-12,,,200-299,,Available,,,,,IDR,,,,Mosaik Kehidupan
2555,220 WAH,Text,2555,2 Juni 1997,,,200-299,,Available,,,,,IDR,,,,Hidup sejati
