item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update
7463,070.1 TIM i,Serial,7463,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7464,070.1 TIM i,Serial,7464,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7465,070.1 TIM i,Serial,7465,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7467,070.1 TIM i,Serial,7467,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7466,070.1 TIM i,Serial,7466,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7468,070.1 TIM r,Text,7468,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7469,070.1 TIM r,Text,7469,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7470,070.1 TIM r,Text,7470,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7471,070.1 TIM r,Text,7471,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7171,070 TIM k,Text,7171,28 januari 2020,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5704,070.1 CRO p,Text,5704,5 Oktober 2011,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5912,070.1 SIM c,Text,5912,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5913,070.1 BUR a,Text,5913,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5914,070.1 SIM o,Text,5914,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
4645,028.5 BUZ m,Text,4645,16 Mei 2009,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5917,070 TIM g,Text,5917,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
5709,070 TIM g,Text,5709,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7541,070.1 TIM i,Serial,7541,3 Januari 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7568,070.1 TIM i,Serial,7568,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7567,070.1 TIM i,Serial,7567,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7569,070.1 TIM i,Serial,7569,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7570,070.1 TIM i,Serial,7570,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7571,070.1 TIM i,Serial,7571,10 Juni 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7574,070.1 TIM i,Serial,7574,25 Juli 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7576,070.1 TIM i,Serial,7576,20 Agustus 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7652,070.1 TIM i,Serial,7652,9/8/2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7653,070.1 TIM i,Serial,7653,1Oktober 2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7685,070.1 TIM i,Serial,7685,11/2/2022,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7720,070.1 TIM i,Serial,7720,6 Februari2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7745,070.1 T,Serial,7745,13 Maret 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
,070.1 TIM i,Serial,,,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7759,070.1 TIM i,Serial,7759,10 Agustus  2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
7796,070.1 TIM i,Serial,7796,31 Oktober 2023,,,000-099,,Available,,,,,IDR,,2/20/2026,2/20/2026
