414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
5605,070.4 TIM w,Text,,29-Apr-11,,,000-099,,Available,,,,,IDR,,,,We Have Come To Worship Him
7746,004 PAN i,Text,,21 Maret 2023,,,000-099,,Available,,,,,IDR,,,,Informatika Untuk SMP/MTs Kelas VII
5573,031,Reference,,3 Maret 2011,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Angkasa Luar
7548,004 RAF s,Text,,21 Februari 2022,,,000-099,,Available,,,,,IDR,,,,Squid 
6956,030 AQI e,Reference,,25-Sep-18,,,000-099,,Available,,,,,IDR,,,,Ensiklopedia Pendidikan & psikologi 
0259,003 CAR c,Text,,10 Sgustus 1984,,,000-099,,Available,,,,,IDR,,,,cara Kerja Komputer
-,070. TIM r,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah readers Digest Indonesia
7462,070.1 TIM i,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari November 2020
7463,070.1 TIM i,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Desember 2020
7464,070.1 TIM i,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,majalah Intisari Januari 2021
7465,070.1 TIM i,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,majalah Intisari April 2021
7467,070.1 TIM i,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Mei 2021
7466,070.1 TIM i,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Majalah Intisari Juni 2021
7468,070.1 TIM r,Text,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan April 2021
7469,070.1 TIM r,Text,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan Mei 2021
7470,070.1 TIM r,Text,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan Juni 2021
7471,070.1 TIM r,Text,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,,,Rumah Tangga Kesehatan Juli 2021
7171,070 TIM k,Text,,28 januari 2020,,,000-099,,Available,,,,,IDR,,,,Kesehatan Menakjubkan!
5704,070.1 CRO p,Text,,5 Oktober 2011,,,000-099,,Available,,,,,IDR,,,,National Geographic : Pueblo
5912,070.1 SIM c,Text,,17 Oktober 2012,,,000-099,,Available,,,,,IDR,,,,National Geographic :Cuaca Ekstrem
