title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Dalam Teduh Mata-Nya,Text,,,Dioma,2002,,,248 HUD d,Indonesia,Malang,248,,,,B. Hudianto Pr.,
Arah Bimbingan Mayarakat katolik,Text,,,Departemen Agama,1990/1991,,,200.7 TIM a,Indonesia,Jakarta,200.7,,,,TIM,
Retret Untuk SLTP Dan SLA,Text,,,Kanisius,1989,,,269 SUP r,Indonesia,Yogyakarta,269,,,,"paul Suparno, SJ",
Mutiara Kehidupan,Text,,,Dioma,2001,,,252 HER m,Indonesia,Malang,252,,,,"Albertus Herwanta, O. carm",
Doa-Doa Di ganjuran,Text,,,-,-,,,264 TIM d,Indonesia,-,264,,,,TIM,
Rosario Sejarah Dan Misteri Kuasanya ,Text,,,Yayasan Pustaka Nusatama,2000,,,242 DAI r,Indonesia,Yogyakarta,242,,,,"Willem daia, Pr",
Pujian Doa 70 Binatang,Text,,,Kanisius,1996,,,210 SUL p,Indonesia,Yogyakarta,210,,,,N. Wahyu Sulisiyana,
"ST. Karel Houben,CP Seorang Misionaris Kudus Di Irlandia",Text,,,Provinsi Pasionis Indonesia,2009,,,200.9 WAS s,Indonesia,Malang,200.9,,,,"J.V. Waskito, SJ",
"mengenal, Perlengkapan Dan Liturgi",Text,,,Kanisius,1997,,,264 WIN m,Indonesia,Yogyakarta,264,,,,I. Marsana Windhu,
Persahabatan Secara Kristiani,Text,,,Kanisius,2002,,,248 MAR p,Indonesia,Yogyakarta,248,,,,"E. Martasudjita, Pr",
Tuntunan Hidup Sehari-Hari,Text,,,-,-,,,243 WHI t,Indonesia,-,243,,,,Ellen G. White,
Membangun Hidup rohani Sepanjang hari,Text,,,Yayasan Pustaka Nusatama,2001,,,264 PUD m,Indonesia,Yogyakarta,264,,,,"Aloysius Budi Purnomo,Pr",
giman Sih… Rasanya salib?,Text,,,Yayasan Pustaka Nusatama,2000,,,220 PUR g,Indonesia,Yogyakarta,220,,,,"Aloysius Budi Purnomo,Pr",
Happy Family 1,Text,,,Galang Press,2009,,,248 SUT h,Indonesia,Yogyakarta,248,,,,Alfonsus Sutarno,
pastor Juga Manusia,Text,,,Yayasan Pustaka Nusatama,2006,,,248 SUD p,Indonesia,Yogyakarta,248,,,,"G. Tulus Sudarto, Pr",
Suffering The Unwanted Blessing,Text,,,Kanisius,2002,,,268 HOG s,Indonesia,Yogyakarta,268,,,,Frances Hogan,
Aneka Ibadat Syukur,Text,,,Obor,2004,,,264 MAR A,Indonesia,Jakarta,264,,,,M. Martono,
Pandanglah Wajah Kasih Allah,Text,,,Kanisius,2003,,,269 NOU p,Indonesia,Yogyakarta,269,,,,Henri J.M. Nouwen,
MENJADI MANUSIA DEWASA,Text,,,Kanisius,2008,,,248 SUH m,Indonesia,Yogyakarta,248,,,,Mgr. I. Suharyo,
Seminaris-Seminaris Badung,Text,,,Yayasan Pustaka Nusatama,2002,,,220 TIM  s,Indonesia,Yogyakarta,220,,,,TIM,
Senyum Sana-Sini,Text,,,Lembaga Literatur baptis,2005,,,220.7 KEL s,Indonesia,Bandung,220.7,,,,Harsono Kelop & Andreas Sudarsono,
Litani Parabola,Text,,,Dioma,2006,,,248 DJE l,Indonesia,Malang,248,,,,Pio Kristi Djaelani Pr.,
Kharisma Dan Spiritualitas,Text,,,Yayasan sanggar Bina tama,2004,,,200.9 TIM k,Indonesia,Surabaya,200.9,,,,TIM,
Mengenal tahun Liturgi,Text,,,Kanisius,1997,,,264 WIN m,Indonesia,Yogyakarta,264,,,,I. Marsana Windhu,
Ada  Surga Di bening Matanya,Text,,,Kanisius,2010,,,200.1  WIB a,Indonesia,Yogyakarta,200.1,,,,F. Rudi D. Wibawa-Theo Riyanto,
Should You Become A Priest?,Text,,,Kanisius,2002,,,248 TIE s,Indonesia,Yogyakarta,248,,,,Terence Tierney,
85 Mutiara Hidup,Text,,,Fidei Press,2008,,,248 SUM d,Indonesia,Jakarta,248,,,,"Yustinus Sumantri Hp., SJ",
Islam mengupas Babi,Text,,,Gema insan press,1992,,,2x0 QAU i,Indonesia,Jakarta,2x0,,,,DR.Sulaiman Qaush,
Umat Bertanya Romo Pid Menjawab,Text,,,Kanisius,2000,,,230 GUN u,Indonesia,Yogyakarta,230,,,,Dr. H. Pidyarto Gunawan  O. Carm,
Persahabatan Secara Kristiani,Text,,,Kanisius,2002,,,248 MAR p,Indonesia,Yogyakarta,248,,,,"E. Martasudjita, Pr",
Untung Hidup Itu Rahmat,Text,,,Kanisius,2002,,,248 PUR u,Indonesia,Yogyakarta,248,,,,"Aloysius Budi Purnomo,Pr",
22 Metode Renungan,Text,,,Kanisius,1987,,,268 MAN d,Indonesia,Yogyakarta,268,,,,M. Mangunhardjana SJ,
Yang Berasal Dari Allah Kembali Kepada Allah,Text,,,Kanisius,2001,,,236 PUR y,Indonesia,Yogyakarta,236,,,,"Aloysius Budi Purnomo,Pr",
Iman Penuh Syukur,Text,,,Yayasan Pustaka Nusatama,1999,,,246 BUD i,Indonesia,Yogyakarta,246,,,,"Aloysius Budi Purnomo,Pr",
Haleluya ! Versus Lha Kok Loyo…,Text,,,Yayasan Pustaka Nusatama,2000,,,269 PUR h,Indonesia,Yogyakarta,269,,,,"Aloysius Budi Purnomo,Pr",
Beriman Dalam Permohonan,Text,,,Yayasan Pustaka Nusatama,2000,,,240 PUR b,Indonesia,Yogyakarta,240,,,,"Aloysius Budi Purnomo,Pr",
Proses Aktualisasi Diri,Text,,,Dioma,2003,,,269 DJO p,Indonesia,Malang,269,,,,"Alberto A. Djono Moi, O. carm",
membangun Jemaat Yang Hidup Salam Roh Kudus,Text,,,Kanisius,1999,,,269 PUR m,Indonesia,Yogyakarta,269,,,,"Aloysius Budi Purnomo,Pr",
Beriman Dalam Pencobaan,Text,,,Yayasan Pustaka Nusatama,2000,,,238 PUR b,Indonesia,Yogyakarta,238,,,,"Aloysius Budi Purnomo,Pr",
Kematian Adalah Rahmat,Text,,,Yayasan Pustaka Nusatama,2000,,,236 PUR k,Indonesia,Yogyakarta,236,,,,"Aloysius Budi Purnomo,Pr",
Kehidupan Gereja,Text,,,Kanisius,1997,,,248 DAR k,Indonesia,Yogyakarta,248,,,,"St.Darmawijaya,Pr",
"Bertobat, Siapa takut!",Text,,,Yayasan Pustaka Nusatama,2000,,,234 PUR b,Indonesia,Yogyakarta,234,,,,"Aloysius Budi Purnomo,Pr",
Kisah Jenaka Para Binatang,Text,,,San Juan,,,,210 TUR k,Indonesia,Yogyakarta,210,,,,"Markus Ture, OCD",
Sumbangan james W.Fowler Bagi Pendidikan Imn,Text,,,Yayasan Pustaka Nusatama,2001,,,248 PUR s,Indonesia,Yogyakarta,248,,,,"Aloysius Budi Purnomo,Pr",
Akulah Kembang Perawan,Text,,,Kanisius,2008,,,252 TAR d,Indonesia,Yogyakarta,252,,,,"Ronald Tardelly, SX",
INI AKU,Text,,,Obor,2009,,,248 PET i,Indonesia,Jakarta,248,,,,Monica Petra,
Peter Donders Misionaris redemptoris rasul Orang Kusta,Text,,,Kanisius,1984,,,230 BER p,Indonesia,Yogyakarta,230,,,,Edmund langton CSSR,
Ziarah Sendangsono sampai Pohsarang,Text,,,Yayasan Pustaka Nusatama,2002,,,248 SAR z,Indonesia,Yogyakarta,248,,,,M. Budi Sardjono,
10 Alasan Mengapa Menjadi katolik,Text,,,Kanisius,2001,,,248 AUE s,Indonesia,Yogyakarta,248,,,,Jim Auer,
hatinya Dirobek Demi Cinta,Text,,,Yayasan Pustaka Nusatama,2000,,,248 PUR h,Indonesia,Yogyakarta,248,,,,"Aloysius Budi Purnomo,Pr",
Beriman Dalam Kasih,Text,,,Yayasan Pustaka Nusatama,2000,,,248 PUR b,Indonesia,Yogyakarta,248,,,,"Aloysius Budi Purnomo,Pr",
Beriman Dalam Pengharapan,Text,,,Yayasan Pustaka Nusatama,2000,,,248 PUR b,Indonesia,Yogyakarta,248,,,,"Aloysius Budi Purnomo,Pr",
Kasih Personal Dan Kasih Pastoral,Text,,,Yayasan Pustaka Nusatama,2001,,,248 PUR k,Indonesia,Yogyakarta,248,,,,"Aloysius Budi Purnomo,Pr",
Pengabdi Keadilan,Text,,,Kanisius,1996,,,3576 SUR p,Indonesia,Yogyakarta,3576,,,,"A. Suryawasita, SJ",
Pertolongan Di Tengah Badai,Text,,,Andi,2001,,,269,Indonesia,yogyakarta,269,,,,K.A.M. Jusuf Roni,
Paradigma Bedagogi Reflektif,Text,,,Kanisius,2008,,,200.7 TIM p,Indonesia,Yogyakarta,200.7,,,,TIM,
Mempertanggujawabkan Iman Katolik Buku Kedua,Text,,,Dioma,1991,,,268 PID m,Indonesia,Malang,268,,,,Dr. H. Pidyarto O. Carm,
Pijaran Lilin Dalam Kehidupan,Text,,,Yayasan Pustaka Nusatama,2003,,,248 WAR p,Indonesia,Yogyakarta,248,,,,"Y. Wartaya, SJ",
Pendidikan Agama katolik Untuk SLTP 2C,Text,,,Kanisius,1995,,,200.7,Indonesia,Yogyakarta,200.7,,,,KWI,
Cinta Ilahi Itu Mempesona,Text,,,Yayasan Pustaka Nusatama,2000,,,230,Indonesia,Yogyakarta,230,,,,"Aloysius Budi Purnomo,Pr",
Akhir Zaman,Text,,,Andi,1985,,,252 SUT a,Indonesia,Yogyakarta,252,,,,Pdt. S.J. Sutjiono,
Eduard Michelis Pengabdi Gereja Pada Zaman Bergolak,Text,,,Cipta Loka Caraka,1987,,,200.9 HEU e,Indonesia,Jakarta,200.9,,,,A. Heuken SJ,
Kerinduan Yang menantang,Text,,,Kanisius,2007,,,248 HET k,Indonesia,Yogyakarta,248,,,,Inocens Ruben Hetu,
Iman Sejati Versus Iman Kosmetik,Text,,,Kanisius,1998,,,269,Indonesia,Yogyakarta,269,,,,"Aloysius Budi Purnomo,Pr",
Rela memaafkan Obat paling Ampuh,Text,,,Erlangga,2001,,,234 JAM r,Indonesia,Jakarta,234,,,,"Gerald G. Jampolsky, M.D.",
Berziarah Bersama Allah Menuju Allah,Text,,,Kanisius,2006,,,269 SUY b,Indonesia,Yogyakarta,269,,,,Ig. Joko Suyanto,
Tuhan Aku Bersyukur Aku Pernah Berdosa,Text,,,Dioma,2004,,,248 SUS t,Indonesia,Malang,248,,,,L. Heru Susanto Pr.,
Rekan Seperjalanan Untuk Orang Sakit,Text,,,Yayasan Pustaka Nusatama,2009,,,248 TIM r,Indonesia,Yogyakarta,248,,,,TIM,
Pastor Juga Manusia,Text,,,Yayasan Pustaka Nusatama,2006,,,240 SUD p,Indonesia,Yogyakarta,240,,,,"G. Tulus Sudarto, Pr",
Doa-Doa Kepada Santo-Santa Kesayanganku,Text,,,Yayasan Pustaka Nusatama,2010,,,200.9 LOV d,Indonesia,Yogyakarta,200.9,,,,"Rev.Lawrence G. Lovasik, SVD",
Tujuh Sabda Yesus Dari Atas Salib,Text,,,Prestasi Pustaka Kasih,2009,,,264,Indonesia,Jakarta,264,,,,Kardinal Philippe Barbarin,
Akar & Sayap,Text,,,Kanisius,2002,,,248 SUM a,Indonesia,Yogyakarta,248,,,,"Y. Sumantri, SJ",
Gila Benar Iman Mereka !,Text,,,Yayasan Pustaka Nusatama,2000,,,220 PUR g,Indonesia,Yogyakarta,220,,,,"Aloysius Budi Purnomo,Pr",
Menciptakan Sekolah Minggu Yang menyenangkan,Text,,,Gloria Graffa,2003,,,248 ARI m,Indonesia,Yogyakarta,248,,,,,
YUSUF,Text,,,BPK Gunung Mulia,1978,,,209 DIA y,Indonesia,Jakarta,209,,,,Lucy Diamond,
Cinta dan Amal,Text,,,Kanisius,1974,,,248,Indonesia,Yogyakarta,248,,,,TIM,
Santo Yohanes Bosco ,Text,,,Obor,2010,,,200.9 JEN s,Indonesia,Jakarta,200.9,,,,Jeremias Jena,
Dinamika Sakramen kasih sayang,Text,,,Obor,2004,,,264 SPI d,Indonesia,Jakarta,264,,,,Mgr. Herman Josef Spital,
Mawar Mistik,Text,,,Gramedia,2007,,,266 KRI m,Indonesia,Jakarta,266,,,,Anand Krishna,
Beriman Bersama Maria,Text,,,Kanisius,2009,,,220 KOK b,Indonesia,Yogyakarta,220,,,,"Jost. Kokoh, Pr",
Bidang Pelayanan,Text,,,Dioma,2003,,,248 SUW b,Indonesia,Malang,248,,,,P. Suwito Pr.,
Surat Cinta Buat Gembala,Text,,,Gramedia,2010,,,248 POL s,Indonesia,Jakarta,248,,,,Polar,
Masalah Agama,Text,,,Kanisius,1970,,,200.2 DAH m,Indonesia,Yogyakarta,200.2,,,,Dr. Franz Dahler,
Everday Blessing ,Text,,,PT.Abiyah Pratama,2008,,,269 CUR e,Indonesia,Jakarta,269,,,,Rebecca Currington,
Nada Le Turbe,Text,,,Kanisius,2009,,,248 PUJ n,Indonesia,Yogyakarta,248,,,,"Mgr. J. Pujasumarta, Pr",
Lourdes ,Text,,,Obor,2008,,,248 DOE l,Indonesia,Jakarta,248,,,,Mgr. R. Isak Doera,
Angin Barat Angin Timur,Text,,,Kanisius,,,,220.9 SUM a,Indonesia,Yogyakarta,220.9,,,,"Y. Sumantri, SJ",
Manusia kain Kafan,Text,,,Kanisius,1983,,,236 WID m,Indonesia,Yogyakarta,236,,,,A. Widyamartaya,
Perempuan Di hadapan Hidup Dan Allah,Text,,,Kanisius,1994,,,269 DAR p,Indonesia,Yogyakarta,269,,,,"J. Darminta, SJ",
Yesus mendidik Para Murid,Text,,,Kanisius,1997,,,268 DAR y,Indonesia,Yogyakarta,268,,,,"J. Darminta, SJ",
Shahadat Satwa,Text,,,Kanisius,2001,,,248 DAR s,Indonesia,Yogyakarta,248,,,,"J. Darminta, SJ",
Problema Jalan Hidup,Text,,,Kanisius,1982,,,239 TIM p,Indonesia,Yogyakarta,239,,,,TIM,
Gita natal,Text,,,Kanisius,1979,,,230.8 WAH g,Indonesia,Yogyakarta,230.8,,,,A. Wahyosudibyo Pr.,
Untaian Doa,Text,,,Obor,2002,,,242 MAR u,Indonesia,2002,242,,,,Anastasia Maria,
Doa Sekolah,Text,,,Kanisius,1995,,,242 MAR d,Indonesia,Yogyakarta,242,,,,Ernest mariyanto,
Devosi Kepada kanak-Kanak Yesus dari Praha,Text,,,Immaculata Press,2003,,,264 MAL d,Indonesia,Jakarta,264,,,,Michael Benyamin mali,
Nabi Dan martir Bersama Yesus,Text,,,Kanisius,1994,,,220 DAR n,Indonesia,Yogyakarta,220,,,,"J. Darminta, SJ",
Mengubah Tanpa Kekerasan,Text,,,Kanisius,1993,,,248 DAR m,Indonesia,Yogyakarta,248,,,,"J. Darminta, SJ",
Pelayanan yang Murah hati,Text,,,Kanisius,2003,,,248 MAR p,Indonesia,Yogyakarta,248,,,,"E. Martasudjita, Pr.",
Memasuki ruang batin,Text,,,Kanisius,1998,,,248 NOU m,Indonesia,Yogyakarta,248,,,,Henri J.M. Nouwen,
Damai Bagimu,Text,,,Kanisius,1977,,,260 TIM d,Indonesia,Yogyakarta,260,,,,TIM STFT Bandung,
mencari Makna Kekuasaan,Text,,,Kanisius,2000,,,216 NOU m,Indonesia,Yogyakarta,216,,,,Henri J.M. Nouwen,
Doa harian Pelajar,Text,,,Obor,2007,,,242 TIM d,Indonesia,Jakarta,242,,,,Stella DKK,
Mukjizat Doa Litani Tubuh Kristus,Text,,,Yayasan Pustaka Nusatama,2005,,,242 SAR m,Indonesia,Yogyakarta,242,,,,M. Budi Sardjono,
Keluarga Berwawasan Ekologis APP,Text,,,Dioma,2017,,,268 TIM k,Indonesia,Malang,268,,,,TIM,
Finding Peace Of Heart,Text,,,Kanisius,2002,,,269 MUN f,Indonesia,Yogyakarta,269,,,,linus Mundy,
Apa kata Tuhan Padaku Hari Ini?,Text,,,Yayasan Pustaka Nusatama,2005,,,220 DAI a,Indonesia,Yogyakarta,220,,,,"Willem daia, Pr",
Cerita Kecil Saja,Text,,,Kanisius,2009,,,248 KLE c,Indonesia,Yogyakarta,248,,,,Stephie Kleden-Beetz,
Boen Bio Benteng Terakhir Umat Khonghucu,Text,,,JP Books,2005,,,299 DEV b,Indonesia,Surabaya,299,,,,Shinta Devi ISR,
Doa harian Ibu Teresa,Text,,,Yayasan Pustaka Nusatama,2005,,,264 ENA d,Indonesia,Yogyakarta,264,,,,Alfred B. Jogo Ena,
Wali-Baptis ,Text,,,Yayasan Pustaka Nusatama,2009,,,265 BAG w,Indonesia,Yogyakarta,265,,,,"FX. Didik Bagiyowinadi, Pr",
"Tuhan Buatkan Ayah Untuk Aku, Ya…",Text,,,Kanisius,2010,,,248 KUS t,Indonesia,Yogyakarta,248,,,,Emmy Kuswandari,
Lebih Indah Lebih Berbuah,Text,,,Kanisius,2009,,,264 SUR l,Indonesia,Yogyakarta,264,,,,C.H. Suryanugraha,
Doa Dan Kepribadian,Text,,,Kanisius,2001,,,240 KEA d,Indonesia,Yogyakarta,240,,,,Dr. Charles J. Keating,
Siap Diutus,Text,,,Dioma,2001,,,200.7 BAG s,Indonesia,Malang,200.7,,,,"FX. Didik Bagiyowinadi, Pr",
Perjalanan Rohani Kedua Belas Murid,Text,,,Kanisius,,,,252 MAR p,Indonesia,Yogyakarta1991,252,,,,Carlo M. Martini,
Mengenal Umat Budha Di Indonesia,Text,,,KWI,1992,,,294.3 TIM m,Indonesia,Jakarta,294.3,,,,TIM,
What The Bible says about Marriage ,Text,,,Andi,2009,,,220 PAK w,Indonesia,Yogyakarta,220,,,,Yopi jalu paksi,
What Would Jesus Do To Rise Above Stress?,Text,,,Kanisius,2002,,,269 GRI w,Inggris,Yogyakarta,269,,,,Daniel D. Grippo,
What Would Jesus Do To Find Meaning In Suffering?,Text,,,Kanisius,2002,,,269 LUE w,Inggris,Yogyakarta,269,,,,carol Luebering,
What Would Jesus Do To Live A New After Loss?,Text,,,Kanisius,2002,,,269 GRI w,Inggris,Yogyakarta,269,,,,Daniel D. Grippo,
Kisah-Kisah Rohani Pembangit Semangat,Text,,,Gospel Pressd,2002,,,248 SIL k,Indonesia,Batam,248,,,,Jennifer E silas S.T,
Foretti,Text,,,Sekafi,1997,,,200.9  SHE f,Indonesia,Jakarta,200.9,,,,Leo Sherley-Price,
Roh Kudus Sang penghibur,Text,,,VOH,2014,,,232 BAI r,Indonesia,Jakarta,232,,,,DR. Brian J. Bailey,
Murid Sejati Yang Menerobos,Text,,,Nafiri gabriel,2010,,,260 AJI m,Indonesia,Jakarta,260,,,,Leonardo A. Sjiamsuri,
Santo martinus,Text,,,Dioma,1991,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
Santa Jeanne D'Arc,Text,,,Dioma,1995,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
santo paulus dari Salib,Text,,,Dioma,1995,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
Santa Odilia,Text,,,Dioma,1993,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
Santo Yoanes Don Bosko,Text,,,Dioma,1991,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
Santa Margareta Maria Alacoque Dan Beata Anna Wang,Text,,,Dioma,1994,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
Santo Maximilianus Maria Kolbe,Text,,,Dioma,1994,,,220 SET s,Indonesia,Malang,220,,,,Maria Setiawati,
Santo Tarsisius,Text,,,Dioma,1989,,,235 SET s,Indonesia,Malang,235,,,,Maria Setiawati,
santo Fransiskus dari Assisi,Text,,,Kanisius,1990,,,235 SET s,Indonesia,Yogyakarta,235,,,,Maria Setiawati,
Santa Bernadet Soubirous,Text,,,Dioma,1989,,,235 SET s,Indonesia,Malang,235,,,,Maria Setiawati,
Santa Maria Goretti,Text,,,Dioma,1991,,,235 SET s,Indonesia,Malang,235,,,,Maria Setiawati,
Santo Vinsensius A Paulo,Text,,,Dioma,1989,,,235,Indonesia,Malang,235,,,,Maria Setiawati,
jalan panjang Puncak Kalvari,Text,,,CV. Pustaka Ilalang,2021,,,246 TIM j,Indonesia,Lamongan,246,,,,TIM,
Hidup & Cinta ,Text,,,nusa Indah,1974,,,220,Indonesia,Ende-Flores,220,,,,Graeme M. Griffin,
Ibadat Jalan Salib,Text,,,-,1987,,,265 P.GO i,Indonesia,-,265,,,,"P. Go, O.carm",
Novena Di saat Sulit Dan Menderita,Text,,,Fidei Press,2004,,,240,Indonesia,Jakarta,240,,,,TIM,
Santa Theresia Dari Kanak-Kanak Yesus,Text,,,Dioma,1988,,,235 SET s,Indonesia,Malang,235,,,,Maria Setiawati,
Tata Perayaan Ekaristi,Text,,,Obor,2020,,,264 TIM t,Indonesia,Jakarta,264,,,,TIM KWI,
SabdaMu Adalah Pelita,Text,,,-,-,,,221,Indonesia,-,221,,,,TIM,
Fransisikus dan Bonaventura,Text,,,Kanisius,2001,,,200.9 ROU f,Indonesia,Yogyakarta,200.9,,,,Paul Rout,
Seorang Santa Yang Berdiam Diri dan Pesan Bunda maria,Text,,,-,-,,,235 TIM s,Indonesia,-,235,,,,TIM,
Bidang Paguyuban,Text,,,Dioma,2003,,,248 SUW b,Indonesia,Malang,248,,,,Suwita Pr,
Nota pastoral Tentang Pendidikan,Text,,,KWI,2008,,,200.7 TIM n,Indonesia,Jakarta,200.7,,,,TIM KWI,
Yesus dari nazaret,Text,,,Dioma,2010,,,232,Indonesia,Malang,232,,,,Rm. Gabriel Antonelli CP,
40 hari Menjadi Wanita Yang Dimampukan Tuhan,Text,,,Visipress,2010,,,220 ANN e,Indonesia,Bandung,220,,,,Michal Ann Dan James W. Goll,
115 Kisah santo santa Yang Mengasyikakkan,Text,,,Kanisius,2001,,,200.9 SNY s,Indonesia,Yogyakarta,200.9,,,,Bernadette McCarver Snyder,
Jesus The Son Of man,Text,,,Raditya,2005,,,200.9 GIB j,Indonesia,Yogyakarta,200.9,,,,Kahlil Gibran,
Diutus Menjadi Saksi,Text,,,Kanisius,2011,,,248 PRA d,Indonesia,Yogyakarta,248,,,,L. Prasetya Pr.,
Baptis Gerbang Sakramen Lain,Text,,,Kanisius,2011,,,265 PRA b,Indonesia,Yogyakarta,265,,,,L. Prasetya Pr.,
Angels & Demons : Iblis & Malaikat,Text,,,Dioma,2006,,,235 KRE a,Indonesia,Malang,235,,,,Dr. Peter Kreeft,
Kitab wahyu ( Tafsir Perjanjian Baru ),Text,,,Kanisius,1983,,,228,Indonesia,Yogyakarta,228,,,,William G.Heidt,
Komunitas Alternatif,Text,,,Kanisius,1998,,,259 NOU k,Indonesia,Yogyakarta,259,,,,Henri J.M. Nouwen,
Keterlibatan Awam Sebagai Anggota Gereja,Text,,,Dioma,2003,,,248 PRA k,Indonesia,Malang,248,,,,L. Prasetya Pr.,
Cahaya Cinta,Text,,,Dioma,1991,,,252 TIM c,Indonesia,Malang,252,,,,TIM,
Ruang tanpa Spasi,Text,,,Andi,2022,,,248 ALE r,Indonesia,Yogyakarta,248,,,,hekmi8 alexcia,
Sabda Kehidupan,Text,,,Pertapaan Karmel,2023,,,252 TIM s,Indonesia,malang,252,,,,TIM,
Holy Bible,Text,,,The Gideons International,-,,,220 TIM b,Indonesia,-,220,,,,The Gideons,
ALKITAB,Text,,,lembaga Alkitab Indonesia,1994,,,220 TIM a,Indonesia,Jakarta,220,,,,TIM,
ALKITAB DEUTEROKANONIKA,Text,,,lembaga Alkitab Indonesia,2012,,,220 tim A,Indonesia,Jakarta,220,,,,TIM,
ALKITAB ( SUPLEMEN),Text,,,lembaga Alkitab Indonesia,1983,,,220,Indonesia,Jakarta,220,,,,TIM,
Kamu DiUtus Memaknai Panggailanku,Text,,,TIM,2020,,,200.9,Indonesia,Yogyakarta,200.9,,,,Sr. Alberta PIJ,
Jesus The Son Of man,Text,,,Quills Book Publisher,2008,,,232,Indonesia,Yogyakarta,232,,,,Kahlil Gibran,
Damai Di Bumi (365 hari berdoa bersama Paus Yohanes paulus II),Text,,,Erlangga,2008,,,248,Indonesia,Jakarta,248,,,,"Mgr. Petrus Canisius Johannes Van Lierde,O.S.AS.",
Kupanggil Engkau Dengan NamaMu,Text,,,Kanisius,1983,,,236,Indonesia,Yogyakarta,236,,,,P. Van Breemen SJ.,
"1500 Cerita Bermakna untuk renungan, khotbah dan ceramah anda",Text,,,Obor,2017,,,251,Indonesia,Jakarta,251,,,,Frank Nihalic SVD,
Orang Kudus Sepanjang Tahun,Text,,,Obor,1993,,,200.9,Indonesia,Jakarta,200.9,,,,"Mgr. Nicolaas Martinus Schneiders,CICM",
Jangan Berhenti Berharap,Text,,,Andi,2021,,,248,Indonesia,Yogyakarta,248,,,,Hanna Kristanto,
"Dimana sih, Rasanya Salib?",Text,,,YPN,2000,,,220,Indonesia,Yogyakarta,220,,,,Aloyis Budi Purnomo Pr.,
Terapi Iman mengelola Stress ,Text,,,Fidei Press,2009,,,248,Indonesia,Jakarta,248,,,,Phil Etienne,
Alvi Sang Malaikat Ingusan,Text,,,Dioma,2017,,,236,Indonesia,Malang ,236,,,,Rini Handayani,
Puji Syukur Kor I Untuk Kor Campur,Text,,,Komisi liturgi KWI,2003,,,264,Indonesia,Jakarta,264,,,,Seksi Musik Komisi Liturgi KWI,
kidung Abadi,Text,,,Pusat Musik Liturgi,1992,,,264,Indonesia,Yogyakarta,264,,,,Karl-Edmund Prier Sj,
Bintang Samudra Nyanyian Maria buku Koor,Text,,,Pusat Musik Liturgi,1990,,,264,Indonesia,Yogyakarta,264,,,,Tim,
Sejarah Televisi,Text,,,Citra Adi bangsa,2008,,,384.5,Indonesia,Makassar,384.5,,,,Egha W.Z. Prayoga,
Kisah yang Terlewatkan 11 September ,Text,,,PT. Elex Media Komputindo,2009,,,303.6,Indonesia,Jakarta,303.6,,,,Alan Wachtel,
Mata-mata & Pemecah Kode,Text,,,PT. Elex Media Komputindo,2009,,,327,Indonesia,Jakarta,327,,,,Carey Scott,
Kisah Penerbangan Pesawat tempur,Text,,,Tiga Serangkai,2009,,,358,Indonesia,Solo,358,,,,Ole Steen Hansen,
Kendaraan Hebat,Text,,,Tiga Serangkai,2008,,,388.3,Indonesia,Solo,388.3,,,,Ian Graham,
Pesawat Tempur Helikopter AH-64 Apache,Text,,,Tiga Serangkai,2009,,,358,Indonesia,Solo,358,,,,Ole Steen Hansen,
Kendaraan Tempur Houercraft Militer LCAC,Text,,,Tiga Serangkai,2009,,,358,Indonesia,Solo,358,,,,Steve Parker,
Kendaraan Tempur M1 Abrams Tank Perang Utama,Text,,,Tiga Serangkai,2009,,,358,Indonesia,Solo,358,,,,Steve Parker,
Kendaraan Tempur M2 Branley Kendaraan Tempur Infanteri,Text,,,Tiga Serangkai,2009,,,358,Indonesia,Solo,358,,,,Steve Parker,
Pencegahan Dan Penanggulangan Penyalahgunaan Narkoba berbasis Sekolah,Text,,,Balai Pustaka,2006,,,362.2,Indonesia,Jakarta,362.2,,,,TIM,
Ragam Budaya Daerah,Text,,,Bahtera Jaya,1992,,,390,Indonesia,-,390,,,,Irwan Danny,
Adat Minangkabau Pola dan Tujuan Hidup Orang Minang,Text,,,PT. Mutiara Sumber Widya,1999,,,390,Indonesia,Jakarta,390,,,,Amir M. S.,
Sejarah Uang,Text,,,PT. remaja Rosdakarya,1992,,,332,Indonesia,Bandung,332,,,,T. Krisnadi,
Mesin Perang,Text,,,Erlangga,2008,,,355,Indonesia,Jakarta,355,,,,Bill Gunston Obe Fraes,
Cerita Rakyat Dari Sabang sampai Merauke,Text,,,Pustaka Widya tama,2008,,,389,Indonesia,Yogyakarta,389,,,,Amanda Clara,
Seri Transpotasi Kereta Api,Text,,,PT. Elex Media Komputindo,2009,,,385,Indonesia,Grafiti Pers,385,,,,"Neny Anggraeni, S.Psi.",
"Folklor Indonesia : Ilmu gosip,dongeng, dan lain-lain",Text,,,Grafti Pers,1984,,,398,Indonesia,Jakarta,398,,,,james Danandjaja,
