title,gmd_name,edition,isbn_issn,publisher_name,publish_year,collation,series_title,call_number,language_name,place_name,classification,notes,image,sor,authors,topics
Majalah Intisari Maret 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari April 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Mei 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Juni 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Juli 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Agustus  2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari September 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Oktober 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari November 2022,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Februari 2023,Serial,,,Gramedia,2023,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Maret 2023,Serial,,,Gramedia,2023,,,070.1 T,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari April  2023,Serial,,,Gramedia,2023,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Agustus 2023,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Oktober 2023,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Majalah Intisari Desember  2023,Serial,,,Gramedia,2022,,,070.1 TIM i,Indonesia,Jakarta,70.1,,,,TIM - Gramedia,
Buku Pintar Jadi Content Creator ,Text,,,Andi,2023,,,006.754 PER b,Indonesia,yogyakarta,6.754,,,,Arif Budi Permana,
255 Tips&Trik Mudah Belajar Microsoft Excel,Text,,,Andi,2022,,,005.36 TIM d,Indonesia,yogyakarta,5.36,,,,TIM-Andi,
Ensiklopedi Pencegahan Terorisme,Reference,,,BNPT,2017,,,030 TIM e,Indonesia,Jakarta,30,,,,Dr. Suaib Tahir-dkk,
Strategi Meraih Nilai A Akreditasi Perpustakaan sekolah,Text,,,Campustaka,2022,,,028 SUS s,Indonesia,Jakarta,28,,,,"Dra. Mei Susiatun, M.Pd.",
Membangun Perpustakaan DiGITAL,Text,,,Sagung Seto,2010,,,020 SAL m,Indonesia,Jakarta,20,,,,Abdul Rahman Saleh,
Majalah Intisari Bulan Februari 2024,Serial,,,Gramedia,2024,,,,Indonesia,Jakarta,,,,,TIM,
Majalah Intisari APRIL 2024,Serial,,,Gramedia,2024,,,70,Indonesia,Jakarta,70,,,,TIM,
Majalah Intisari Bulan Mei 2024,Serial,,,Gramedia,2024,,,70,Indonesia,Jakarta,70,,,,TIM,
Majalah Intisari Bulan Juni 2024,Serial,,,Gramedia,2024,,,,Indonesia,Jakarta,,,,,TIM,
The Unbound Spirits: SMAK St. Albertus Malang,Text,,,Dempo,2024,,,028 TIM t,Indonesia,Malang,28,,,,TIM,
National Geographic Indonesia Agustus 2024,Text,,,Gramedia,2024,,,070 TIM n,Indonesia,Jakarta,70,,,,TIM,
National Geographic September 2024,Text,,,Gramedia,2024,,,070 TIM n,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia Oktober 2024,Text,,,Gramedia,2024,,,070 TIM n,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia November 2024,Text,,,Gramedia,2024,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia Desember 2024,Text,,,Gramedia,2024,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia Januari 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia Februari 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
Ensiklopedia Indonesia Provinsi Jawa Tengah,Reference,,,Pustaka Referensi,2019,,,030.9 WAS e,Indonesia,yogyakarta,30.9,,,,Kusnadi Wasrie,
Ensiklopedia Indonesia Provinsi Jawa Timur,Reference,,,Pustaka Referensi,2019,,,030.9 WAS e,Indonesia,yogyakarta,30.9,,,,Kusnadi Wasrie,
National Geographic Indonesia Traveler,Text,,,Gramedia,2013,,,70,Indonesia,Jakarta,70,,,,TIM,
national Geographic Indonesia Maret 2025,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
National Geographic Indonesia April 2025 Edisi Khusus 20 Tahun ,Text,,,Gramedia,2025,,,70,Indonesia,Jakarta,70,,,,TIM,
Menguasai Pemrograman Arduino Dan Robotik,Text,,,Andi,2020,,,5.1,Indonesia,yogyakarta,5.1,,,,Prof. Dr. Ir. Widodo Budiharjo,
Coreldraw 2019 untuk Pemula,Text,,,Andi,2022,,,5.36,Indonesia,yogyakarta,5.36,,,,TIM,
Kolaborasi data Antarprogram Microsoft Office 2021,Text,,,Andi,2023,,,5.369,Indonesia,yogyakarta,5.369,,,,TIM,
