item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
4029,005 SUT p,Text,4029,9/12/2006,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-65,006.60 KAS p,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4692,5,Text,4692,7/2/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4536,005 TIM m,Text,4536,5/21/2008,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6860,005 RUM m,Text,6860,7/17/2017,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-69,006.639 TIM k,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7513,070.5 Har p,Text,7513,11/17/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4121,005 FIR a,Text,4121,3/10/2007,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5822,070.1 TIM k,Text,5822,5/7/2012,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7730,028 MAL m,Text,7730,2/24/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-74,,Serial,,,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-75,,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
4927,070.1 TIM d,Text,4927,12/4/2009,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5605,070.4 TIM w,Text,5605,4/29/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7746,004 PAN i,Text,7746,3/21/2023,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5573,31,Reference,5573,3/3/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7548,004 RAF s,Text,7548,2/21/2022,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
6956,030 AQI e,Reference,6956,9/25/2018,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
259,003 CAR c,Text,259,8/10/1984,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
AUTO-83,070. TIM r,Serial,,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7462,070.1 TIM i,Serial,7462,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7463,070.1 TIM i,Serial,7463,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7464,070.1 TIM i,Serial,7464,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7465,070.1 TIM i,Serial,7465,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7467,070.1 TIM i,Serial,7467,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7466,070.1 TIM i,Serial,7466,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7468,070.1 TIM r,Text,7468,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7469,070.1 TIM r,Text,7469,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7470,070.1 TIM r,Text,7470,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7471,070.1 TIM r,Text,7471,8/10/2021,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
7171,070 TIM k,Text,7171,1/28/2020,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5704,070.1 CRO p,Text,5704,10/5/2011,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5912,070.1 SIM c,Text,5912,10/17/2012,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
5913,070.1 BUR a,Text,5913,10/17/2012,,,000-099,,Available,,,,,IDR,,2/20/2026 20:05,2/20/2026 20:05,
