item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
5822,070.1 TIM k,Text,5822,2012-05-07,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kuark Kelas Olimpiade
7730,028 MAL m,Text,7730,2023-02-24,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Membangun Generasi Aktif Literasi
AUTO-73,,Serial,,,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kuasa Doa majalah Rohani Bulanan
AUTO-74,,Text,,,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kuark Kelas Olimpiade
4927,070.1 TIM d,Text,4927,2009-12-04,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geographic  : Detak Bumi
5605,070.4 TIM w,Text,5605,2011-04-29,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,We Have Come To Worship Him
7746,004 PAN i,Text,7746,2023-03-21,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Informatika Untuk SMP/MTs Kelas VII
5573,31,Reference,5573,2011-03-03,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Ensiklopedia Angkasa Luar
7548,004 RAF s,Text,7548,2022-02-21,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Squid 
6956,030 AQI e,Reference,6956,2018-09-25,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Ensiklopedia Pendidikan & psikologi 
259,003 CAR c,Text,259,1984-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,cara Kerja Komputer
AUTO-82,070. TIM r,Serial,,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah readers Digest Indonesia
7462,070.1 TIM i,Serial,7462,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari November 2020
7463,070.1 TIM i,Serial,7463,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Desember 2020
7464,070.1 TIM i,Serial,7464,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,majalah Intisari Januari 2021
7465,070.1 TIM i,Serial,7465,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,majalah Intisari April 2021
7467,070.1 TIM i,Serial,7467,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Mei 2021
7466,070.1 TIM i,Serial,7466,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Juni 2021
7468,070.1 TIM r,Text,7468,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Rumah Tangga Kesehatan April 2021
7469,070.1 TIM r,Text,7469,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Rumah Tangga Kesehatan Mei 2021
7470,070.1 TIM r,Text,7470,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Rumah Tangga Kesehatan Juni 2021
7471,070.1 TIM r,Text,7471,2021-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Rumah Tangga Kesehatan Juli 2021
7171,070 TIM k,Text,7171,2020-01-28,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Kesehatan Menakjubkan!
5704,070.1 CRO p,Text,5704,2011-10-05,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geographic : Pueblo
5912,070.1 SIM c,Text,5912,2012-10-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geographic :Cuaca Ekstrem
5913,070.1 BUR a,Text,5913,2012-10-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geographic :Air
5914,070.1 SIM o,Text,5914,2012-10-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geographic : Otak
4645,028.5 BUZ m,Text,4645,2009-05-16,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Buku Pintar Mind Map Untuk Anak 
5917,070 TIM g,Text,5917,2012-10-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geograpchic : Genetika Dari DNA hingga Domba Dolly
5709,070 TIM g,Text,5709,2012-10-17,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,National Geograpchic : Arkeologi Menguak Rahasia Masa lampau : Yunani Kuno
7541,070.1 TIM i,Serial,7541,2022-01-03,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Januari 2022
7568,070.1 TIM i,Serial,7568,2022-06-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari  Februari 2022
7567,070.1 TIM i,Serial,7567,2022-06-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Maret 2022
7569,070.1 TIM i,Serial,7569,2022-06-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari April 2022
7570,070.1 TIM i,Serial,7570,2022-06-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Mei 2022
7571,070.1 TIM i,Serial,7571,2022-06-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Juni 2022
7574,070.1 TIM i,Serial,7574,2022-07-25,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Juli 2022
7576,070.1 TIM i,Serial,7576,2022-08-20,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Agustus  2022
7652,070.1 TIM i,Serial,7652,2022-09-08,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari September 2022
7653,070.1 TIM i,Serial,7653,2022-10-01,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Oktober 2022
7685,070.1 TIM i,Serial,7685,2022-11-02,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari November 2022
7720,070.1 TIM i,Serial,7720,2023-02-06,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Februari 2023
7745,070.1 T,Serial,7745,2023-03-13,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Maret 2023
AUTO-114,070.1 TIM i,Serial,,,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari April  2023
7759,070.1 TIM i,Serial,7759,2023-08-10,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Agustus 2023
7796,070.1 TIM i,Serial,7796,2023-10-31,,,000-099,,Available,,,,,IDR,,2/20/2026 18:57,2/20/2026 18:57,Majalah Intisari Oktober 2023
