item_code,call_number,coll_type_name,inventory_code,received_date,supplier_name,order_no,location_name,order_date,item_status_name,site,source,invoice,price,price_currency,invoice_date,input_date,last_update,title
5513,031 JAW e,Reference,5513,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedi Galaksi Dan Atmosfer
5316,031 JAW e,Reference,5316,2010-09-27,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedi Matahari dan Bulan
3650,020.6 DAR m,Text,3650,27 Oktober 2004,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Manajemen Da tata Kerja Perpustakaan sekolah
4896,005 SAE p,Text,4896,12 Agustus 2008,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Pengolahan Grafik & Ilustrasi Corel Draw!6
3664,001CLA b,Text,3664,11 Mei 2005,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Buku Pintar Ilmu pengetahuan
4364,001 MOO b,Text,4364,2007-11-02,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Bagaimana Membuat Proyek Ilmu Pengetahuanmu Menjadi Ilmiah
5927,031 TIM e,Reference,5927,20 Februari 2013,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedi Anak Serangga Dan Laba-Laba
6962,030 TIM w,Text,6962,2018-09-25,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Wonderful World 1
5512,031 JAW e,Reference,5512,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedi Bumi & Kehidupan
4633,005 PUR p,Text,4633,17 Juni 2008,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,"Panduan Belajar Otodidak Microsoft Power Point 2007 :Mudah, Praktis, dan Lengkap"
4029,005 SUT p,Text,4029,2006-09-12,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Panduan Lengkap Wordperfect For Windows Versi 5.2
,006.60 KAS p,Text,,,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Petunjuk Praktis Pemakaian Word Star 7
4692,5,Text,4692,2 Juli 2008,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Langkah Mudah Meraup Dolar Lewat Internet
4536,005 TIM m,Text,4536,21 Mei 2008,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Microsoft Powerpoint 2007 Untuk menyusun Presentasi Profesional
6860,005 RUM m,Text,6860,17 Juli 2017,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,makin gaul Dengan Google+
,006.639 TIM k,Text,,,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kumpulan Soal Ujian Nasional Komputer Diklusemas Word Star
7513,070.5 Har p,Text,7513,2021-11-17,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Penulisan Buku Ajar Yang baik Dan Produktif 
4121,005 FIR a,Text,4121,10 Maret 2007,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Aplikasi Perkantoran Dengan Microsoft Word 2002 &  Microsoft Excel 2002
5822,070.1 TIM k,Text,5822,7 Mei 2012,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kuark Kelas Olimpiade
7730,028 MAL m,Text,7730,24 Februari 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Membangun Generasi Aktif Literasi
,,Serial,,,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kuasa Doa majalah Rohani Bulanan
,,Text,,,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Kuark Kelas Olimpiade
4927,070.1 TIM d,Text,4927,4 Desember 2009,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,National Geographic  : Detak Bumi
5605,070.4 TIM w,Text,5605,2011-04-29,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,We Have Come To Worship Him
7746,004 PAN i,Text,7746,21 Maret 2023,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Informatika Untuk SMP/MTs Kelas VII
5573,31,Reference,5573,3 Maret 2011,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Angkasa Luar
7548,004 RAF s,Text,7548,21 Februari 2022,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Squid 
6956,030 AQI e,Reference,6956,2018-09-25,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Ensiklopedia Pendidikan & psikologi 
259,003 CAR c,Text,259,10 Sgustus 1984,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,cara Kerja Komputer
,070. TIM r,Serial,,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah readers Digest Indonesia
7462,070.1 TIM i,Serial,7462,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari November 2020
7463,070.1 TIM i,Serial,7463,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,Majalah Intisari Desember 2020
7464,070.1 TIM i,Serial,7464,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,majalah Intisari Januari 2021
7465,070.1 TIM i,Serial,7465,10 Agustus  2021,,,000-099,,Available,,,,,IDR,,2026-02-20,2026-02-20,majalah Intisari April 2021
